"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&interval=Permian,Ladinian&private"
"Access Time","Fri 2024-10-25 09:23:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","interval","Permian,Ladinian"
"","timerule","major"
"","private","1"
"Elapsed Time","3.12"
"Records Found","3667"
"Records Returned","3667"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Alpine Salt Deposits","","claystone,evaporite","254.14","251.902","AT","2","6"
"str","","Altenglan","","","298.9","283.5","DE","1","1"
"str","","Altenglan/Remigiusberg","","","298.9","293.52","DE","1","1"
"str","","Altuda","","""limestone""","264.28","259.51","US","8","19"
"str","","Alum Rock Beds","","siltstone","293.52","290.1","AU","2","2"
"str","","Alwa","","lime mudstone","251.2","248.9","OM","1","1"
"str","","Amanak","","mudstone","264.28","259.51","RU","10","60"
"str","","Amanakskaya","","""limestone"",claystone/siltstone,conglomerate,sandstone,sandstone/claystone,sandstone/conglomerate,siltstone/dolomite,siltstone/marl","266.9","256.8","RU","15","79"
"str","","Amb","","""carbonate""/sandstone,""limestone"",marl,sandstone,sandstone/""limestone""","264.28","259.51","PK","140","900"
"str","","Ambition","","""limestone""","298.9","293.52","CA","13","20"
"str","","Amkanzhin","","""siliciclastic""","264.28","259.51","RU","1","1"
"str","","Amushan","","""limestone""","298.9","293.52","CN","2","10"
"str","","Angjie","","""limestone""","290.1","283.5","CN","24","33"
"str","","Angolo","","""limestone""","243.8","242","IT","5","10"
"str","","Annear","","sandstone","259.51","254.14","NZ","3","3"
"str","","Anshun","","dolomite,mudstone","247.2","242","CN","52","246"
"str","","Antiinsky","","","273.01","266.9","RU","3","19"
"str","","Antimonio","","""limestone"",""shale"",packstone,sandstone,siltstone/""limestone""","247.2","242","MX","34","249"
"str","","Antimonio","Monos Beds","""limestone""","266.9","264.28","MX","1","13"
"str","","Antiya","","","266.9","264.28","RU","2","2"
"str","","Antler Peak","","siltstone","293.52","290.1","US","1","1"
"str","","Aracs","","marl","251.4","251.2","HU","1","1"
"str","","Arcturus","","""limestone"",""limestone""/sandstone,""reef rocks"",packstone/grainstone,wackestone/packstone","290.1","283.5","US","57","106"
"str","","Arenal d'en Castell","","""limestone""","239.7","237","ES","18","58"
"str","","Arenarie de Val Gardena","","sandstone","259.51","251.902","IT","1","20"
"str","","Aring","","mudstone","259.51","254.14","MY","1","8"
"str","","Arkachan","","""siliciclastic""","264.28","259.51","RU","4","4"
"str","","Armandzha","","""siliciclastic""","259.51","251.902","RU","1","1"
"str","","Arpa","","""limestone""","266.9","264.28","AM,AZ","57","449"
"str","","Arqov","","""limestone"",""limestone""/""shale"",""shale"",dolomite,sandstone,sandstone/""limestone""","251.902","247.2","IL","36","382"
"str","","Arroyo","","""siliciclastic""","283.5","273.01","US","1","2"
"str","","Arroyo Totoral","","","298.9","290.1","AR","1","8"
"str","","Asfar","","""limestone""","290.1","273.01","AE","1","7"
"str","","Asitka","","""limestone""","290.1","283.5","CA","6","8"
"str","","Assise de Kusel","","""siliciclastic""/""carbonate""","298.9","283.5","FR","1","17"
"str","","Assise de Lebach","","""shale""/sandstone","298.9","283.5","FR","1","23"
"str","","Assise de Millery","","""siliciclastic""/""mixed carbonate-siliciclastic""","298.9","283.5","FR","1","36"
"str","","Assise de Millery","Margenne Boghead Coal","mudstone","298.9","293.52","FR","1","3"
"str","","Assise de Muse","","""shale""","298.9","283.5","FR","1","19"
"str","","Assistance","","""limestone"",""siliciclastic"",sandstone,sandstone/""limestone"",siltstone,siltstone/""limestone""","273.01","266.9","CA,NO,SJ","33","111"
"str","","Aszofö","","dolomite","251.902","247.2","HU","1","4"
"str","","Aszofö Dolomite","","marl","251.902","247.2","HU","1","11"
"str","","Atahoc","","""limestone"",sandstone/""shale""","290.1","259.51","ID,TL","3","64"
"str","","Atkan","","""siliciclastic""","264.28","259.51","RU","1","1"
"str","","Augusta","","","242","237","US","1","3"
"str","","Augusta Mountain","lower","""limestone"",""limestone""/""shale""","242","237","US","9","44"
"str","","Autun","","","298.9","283.5","FR","2","2"
"str","","Avamskaya Suite","","","264.28","251.902","RU","1","17"
"str","","Avlandian","","""siliciclastic""","273.01","266.9","RU","1","1"
"str","","Avlandya","","""siliciclastic""","266.9","264.28","RU","3","3"
"str","","Ayach'yaga","","""siliciclastic""","283.5","273.01","RU","4","4"
"str","","Ba'id","","""limestone"",bafflestone","266.9","259.51","OM","8","38"
"str","","Babino","","""limestone"",marl","243.8","242","BG","4","16"
"str","","Babuk","","""carbonate""","239.7","237","RU","2","4"
"str","","Bac Thuy","","""limestone"",""mixed carbonate-siliciclastic""/claystone,""mixed carbonate-siliciclastic""/marl,marl,marl/""limestone"",mudstone,mudstone/""limestone""","248.9","247.2","VN","75","405"
"str","","Bacchus Marsh","","sandstone","290.1","283.5","AU","1","1"
"str","","Bacov","","","298.9","273.01","CZ","1","3"
"str","","Badong","","""limestone""","242","239.7","CN","4","6"
"str","","Bagh-e Vang","","""carbonate"",""limestone""","283.5","273.01","IR","13","85"
"str","","Bahcecik","","""reef rocks""","247.2","242","TR","1","24"
"str","","Baidingpu","","""limestone""","259.51","254.14","CN","2","13"
"str","","Baifeng","","sandstone/mudstone","247.2","242","CN","9","16"
"str","","Baigendzhi","","""limestone"",""siliciclastic"",dolomite","290.1","283.5","KZ,RU","5","84"
"str","","Baigendzhin","","""limestone"",""siliciclastic"",conglomerate,sandstone","290.1","283.5","KZ,RU","16","108"
"str","","Baikur","","""siliciclastic""","264.28","259.51","RU","47","93"
"str","","Bainmedart Coal Measures","","","266.9","251.902","AA","1","11"
"str","","Baird","Hirz Mountain Limestone","""limestone""","307","273.01","US","2","74"
"str","","Baitugan","","""siliciclastic"",claystone,siltstone/""shale""","273.01","259.51","RU","12","125"
"str","","Baitugan","Kamyshla","""limestone""/siltstone","273.01","266.9","RU","1","35"
"str","","Baitugan","Lingula Shale","""limestone""/marl,""shale"",""shale""/""limestone""","273.01","266.9","RU","4","75"
"str","","Baitugan","Spiny Limestone","""limestone"",""limestone""/marl","266.9","264.28","RU","2","31"
"str","","Bajtugan","","""limestone""","273.01","266.9","RU","4","29"
"str","","Bakalinskian Suite","","","266.9","254.14","RU","1","6"
"str","","Baker","","""siliciclastic"",sandstone,siltstone","283.5","273.01","AU","4","6"
"str","","Balfour","","","259.51","251.902","ZA","1","1"
